callsign,actype,adep,ades,eobt,rfl,gs,dep_rwy,arr_rwy,sid,star,approach,route
KMI713,B734,VTBS,VGHS,2025-12-23 03:30,360,455,RW02R,,TARE1H,,,TARED G463 BETNO
KZR932,A21N,VTBS,UAAA,2025-12-23 03:30,340,465,RW02R,,TARE1H,,,TARED G463 BETNO
MAS787,B38M,VTSP,WMKK,2025-12-23 03:30,370,455,RW09,,REBE1A,,,REBED B579 DALAN
THA466,A359,YMML,VTBS,2025-12-23 03:30,380,505,,RW01,,TUMG1D,R01,TIDAR M904 TONIK M644 ALUMO Y12 ALEMI
TLM507,B738,VTCC,VTBD,2025-12-23 03:30,310,460,RW36,RW21R,PANT2C,NAKO3A,R21R,PANTA Y7 BLAFF DCT NAKON
TVJ102,A321,VTBS,VTCC,2025-12-23 03:30,340,455,RW02R,RW36,OLVU1H,MARN2A,R36,OLVUK Y26 MARNI
VAM03,DC3T,VTPP,VTBD,2025-12-23 03:30,90,180,RW32,RW21R,PEBL1B,NAKO3A,R21R,PEBLI Y28 BLAFF DCT NAKON
AIQ3130,A320,VTBD,VTSC,2025-12-23 03:35,370,440,RW21L,,KASN3C,,,KASNI M757 ROBDA W19 NTW
AMU995,A321,VTBS,VMMC,2025-12-23 03:35,330,465,RW02R,,SELK1H,,,SELKA A1 SANOT Y15 GUROK A202 SAV
AXM882,A21N,WMKK,VTBD,2025-12-23 03:35,380,460,,RW21R,,SABA3A,R21R,RIGTO M769 GOKEX Y96 EMTIX Y99 HOTEL
HKE757,A21N,VTCC,VHHH,2025-12-23 03:35,330,490,RW36,,MONL2C,,,MONLO W12 NAN R215 TOMIP
KME702,A320,VTBS,VDTI,2025-12-23 03:35,290,470,RW02R,,GOME1S,,,GOMES N506 BOKAK
MMA360,A319,VYYY,VTBD,2025-12-23 03:35,330,455,,RW21R,,WEHA3A,R21R,BETNO P646 TARED
THA561,A320,VVNB,VTBS,2025-12-23 03:35,380,445,,RW01,,NORT1D,R01,VTN R470 UDN W21 NOBER
THA664,A359,VTBS,ZSPD,2025-12-23 03:35,390,505,RW02R,,SELK1H,,,SELKA A1 SANOT Y15 GUROK A202 SAV
TVJ721,A320,VDTI,VTBS,2025-12-23 03:35,300,480,,RW01,,TUMG1D,R01,VAPVU P629 NUGPA
THY65,A333,VTBS,LTFM,2025-12-23 03:38,320,480,RW02R,,TARE1H,,,TARED P646 BETNO
ABY816,A21N,OMSJ,VTBS,2025-12-23 03:40,350,460,,RW01,,WILA1D,R01,BETNO G463 TARED
AFL279,A333,VTSP,UUEE,2025-12-23 03:40,300,510,RW09,,SATV1A,,,SATVA L759 TAVUN
AIQ3354,A320,VTBD,VTUD,2025-12-23 03:40,290,430,RW21L,RW30,ROBK3C,ANPU1C,R30,ROBKA A1 SELKA Y14 KRT Y23 KKN Y23/Y22
AIQ4231,A320,VTBS,VTSF,2025-12-23 03:40,330,445,RW02R,RW19,KASN1H,,R19,KASNI M757 LOSDA Y94 NKS
AIQ5420,A320,VTCC,VTSB,2025-12-23 03:40,380,450,RW36,RW22,PANT2C,IKER1A,R22,PANTA Y7 BKK Y8 IKERA
CQH6193,A320,ZGOW,VTBS,2025-12-23 03:40,320,455,,RW01,,EAST1D,R01,SAV A202 RAMEI W42 PAKRI Y13 RUKSA
HKE705,A21N,VTBS,VHHH,2025-12-23 03:40,370,465,RW02R,,LIPL1S,,,LIPLI Y16 BUTRA
SIA846,B38M,WSSS,ZUTF,2025-12-23 03:40,390,490,,,,,,GOLUD M751 BKK Y27 IKISU W22 CTR A581 PONUK
TLM706,B738,VTBD,VTSS,2025-12-23 03:40,350,455,RW21L,RW26,KASN3C,OBLE1A,R26,KASNI M757 OBLEX
AIQ3106,A320,VTBD,VTSS,2025-12-23 03:45,370,450,RW21L,RW26,KASN3C,OBLE1A,R26,KASNI M757 OBLEX
AIQ3212,A21N,VTBD,VTSG,2025-12-23 03:45,360,455,RW21L,RW32,SABI3C,NULM1E,R32,SABIS Y8 SAPUD W32 NULMA
BKP131,A319,VTBS,VTSM,2025-12-23 03:45,150,225,RW02R,RW17,KASN1H,,R17,KASNI M757 MABKO W33 SMU
CSH833,B38M,ZSPD,VTBS,2025-12-23 03:45,340,445,,RW01,,EAST1D,R01,SAV A202 RAMEI W42 PAKRI Y13 RUKSA
CSH842,B38M,VTBS,ZSPD,2025-12-23 03:45,350,455,RW02R,,SELK1H,,,SELKA A1 SANOT Y15 GUROK A202 SAV
MMA503,A319,VYYY,WMKK,2025-12-23 03:45,370,450,,,,,,EKAVO M626 VALSI M757 KARMI
MXD530,B738,WMKJ,VTBD,2025-12-23 03:45,340,460,,RW21R,,SEHN3A,R21R,ABTOK M644 ALUMO Y12 ALEMI
PAL654,B77W,RPLL,OERK,2025-12-23 03:45,360,460,,,,,,TUPGO M633 TANEK
TLM705,B738,VTSS,VTBD,2025-12-23 03:45,360,470,RW26,RW21R,DAND1C,SABA3A,R21R,DANDO M769 GOKEX Y96 EMTIX Y99 HOTEL DCT SABAI
AIQ323,A320,VTBD,WMKP,2025-12-23 03:50,390,450,RW21L,,KASN3C,,,KASNI M757 KARMI
BKP1137,A319,VTBS,VTSM,2025-12-23 03:50,170,240,RW02R,RW17,KASN1H,,R17,KASNI M757 MABKO W33 SMU
CBG8910,A320,VTBS,ZGNN,2025-12-23 03:50,330,460,RW02R,,UGUV1H,,,UGUVO Y27 PIBAN Y29 PSL W26 CMP W21 UDN R470 VTN
CRK741,A320,VHHH,VTSP,2025-12-23 03:50,360,445,,RW09,,SAVS1C,,BUTRA A1 UBL W1 RAMEI W42 MENEX Y8 SAVSA
IGO1013,A21N,VIDP,WSSS,2025-12-23 03:50,370,450,,,,,,EKAVO M626 IKOGA Y24 PASVA
NOK171,B738,VTCN,VTBD,2025-12-23 03:50,390,455,RW02,RW21R,OMNI,NAKO3A,R21R,W29 PSL Y28 BLAFF DCT NAKON
THA628,A320,VTBS,VHHH,2025-12-23 03:50,370,465,RW02R,,LIPL1S,,,LIPLI Y16 BUTRA
TVJ414,A320,VTCC,VTSP,2025-12-23 03:50,350,470,RW36,RW09,PANT2C,SAVS1C,,PANTA Y7 BKK Y8 SAVSA
TVJ960,B38M,VTBS,VVDN,2025-12-23 03:50,330,480,RW02R,,LIPL1S,,,LIPLI Y16 BUTRA
AIQ3342,A320,VTBD,VTUW,2025-12-23 03:55,350,455,RW21L,RW15,ROBK3C,,R15,ROBKA A1 SELKA Y14 KRT Y23 KKN Y23/Y22
FDX5148,B763,VTBS,WSSS,2025-12-23 03:55,370,465,RW02R,,BUT1H,,,BUT Y11 PASVA
HKC331,A332,VHHH,VTBS,2025-12-23 03:55,400,445,,RW01,,EAST1D,R01,SAV A202 RAMEI W42 PAKRI Y13 RUKSA
IGO1064,A21N,VTBS,VIDP,2025-12-23 03:55,360,460,RW02R,,TARE1H,,,TARED P646 BETNO
SIA761,B38M,VYYY,WSSS,2025-12-23 03:55,350,460,,,,,,EKAVO M626 IKOGA DCT PASVA
TGW632,E290,WSSS,VTSS,2025-12-23 03:55,360,455,,RW26,,TAXE1A,R26,PASVA A334 TAXEB
TGW679,E290,VTSP,WSSS,2025-12-23 03:55,350,455,RW09,,EPGO1A,,,EPGOT W14 HTY A334 PASVA
THA321,A333,VTBS,VGHS,2025-12-23 03:55,380,460,RW02R,,TARE1H,,,TARED G463 BETNO
THA612,A320,VTBS,ZPPP,2025-12-23 03:55,390,480,RW02R,,UGUV1H,,,UGUVO Y27 IKISU W22 CTR A581 PONUK
ABY714,A21N,OMSJ,VTSP,2025-12-23 04:00,350,455,,RW09,,UBNE1C,,SAPAM L645 UBNEN
AIQ397,A20N,WADD,VTBD,2025-12-23 04:00,340,470,,RW21R,,SEHN3A,R21R,TIDAR M904 TONIK M644 ALUMO Y12 ALEMI
BKP254,AT76,VTSP,VTSM,2025-12-23 04:00,150,240,RW09,RW17,EMRI1A,,R17,EMRIT Y99 AKVUG Y93 SMU
BKP452,AT76,VTSM,VTBD,2025-12-23 04:00,160,255,RW35,RW21R,OLBA1B,SABA3A,R21R,OLBAG Y17 DONSI M769 GOKEX Y96 EMTIX Y99 HOTEL DCT SABAI
CAL834,A333,VTBS,RCTP,2025-12-23 04:00,370,490,RW02R,,LIPL1S,,,LIPLI Y16 BUTRA
CPA653,A333,VHHH,VTBS,2025-12-23 04:00,340,455,,RW01,,EAST1D,R01,SAV A202 RAMEI W42 PAKRI Y13 RUKSA
HKE725,A21N,VTSP,VHHH,2025-12-23 04:00,370,465,RW09,,EMRI1A,,,EMRIT Y99 NONEL Y98 SURMA W42 TOPER A1 SANOT Y15 GUROK A202 SAV
KZR564,A21N,VTSP,UAAA,2025-12-23 04:00,340,475,RW09,,SUSI1A,,,SUSID G331 PADET
MAS792,B38M,WMKK,VTCC,2025-12-23 04:00,360,460,,RW36,,MARN2A,R36,RIGTO M769 BKK Y26 MARNI
MJJ712,A320,VTBD,VTCC,2025-12-23 04:00,360,520,RW21L,RW36,OLVU3C,MARN2A,R36,OLVUK Y26 MARNI
MJJ814,A320,VTBD,VTUW,2025-12-23 04:00,350,475,RW21L,RW15,ROBK3C,,R15,ROBKA A1 SELKA Y14 KRT Y23 KKN Y23/Y22
MTL160,E135,VTUD,VTBD,2025-12-23 04:00,200,235,RW12,RW21R,ANPU1B,ENDU3A,R21R,Y22/Y23 KKN Y23 KRT Y20 UBLOD DCT ENDUU
MXD540,B738,WMKK,VTSP,2025-12-23 04:00,360,470,,RW09,,URGA1C,,DUBAX R325 URGAD
TAG17,GLF6,VHHH,VTCC,2025-12-23 04:00,380,465,,RW36,,MONL2A,R36,TOMIP R215 NAN W12 MONLO
TLM644,B738,VTBD,VTUK,2025-12-23 04:00,250,410,RW21L,RW03,ROBK3C,,R03,ROBKA A1 SELKA Y14 KRT Y23 KKN Y23/Y22
TLM807,B738,VTSG,VTBD,2025-12-23 04:00,330,465,RW14,RW21R,OSPE1G,SABA3A,R21R,OSPEX Y99 HOTEL DCT SABAI
TVJ304,A321,VTBS,VTSP,2025-12-23 04:00,340,460,RW02R,RW09,VANK1H,SAVS1C,,VANKO Y8 SAVSA
AIQ3248,A20N,VTBD,VTUK,2025-12-23 04:05,270,445,RW21L,RW03,ROBK3C,,R03,ROBKA A1 SELKA Y14 KRT Y23 KKN Y23/Y22
IGO1072,A21N,VTSP,VABB,2025-12-23 04:05,300,490,RW09,,UBNE1A,,,UBNEN L645 SAPAM
MAS785,B38M,VTBS,WMKK,2025-12-23 04:05,370,450,RW02R,,KASN1H,,,KASNI M757 KARMI
MMA502,A319,WMKK,VYYY,2025-12-23 04:05,360,465,,,,,,RIGTO M769 SORTO M626 EKAVO
SIA727,B38M,VTSP,WSSS,2025-12-23 04:05,370,450,RW09,,EPGO1A,,,EPGOT W14 HTY A334 PASVA
TLM508,B739,VTBD,VTCC,2025-12-23 04:05,320,450,RW21L,RW36,OLVU3C,MARN2A,R36,OLVUK Y26 MARNI
AIQ357,A21N,VTBD,WSSS,2025-12-23 04:10,370,445,RW21L,,KIGO3C,,,KIGOB Y11 PASVA
AIQ3923,A320,VTBD,VTCL,2025-12-23 04:10,300,420,RW21L,RW36,OLVU3C,IBIR1A,R36,OLVUK Y26 BEBUV Y33 IBIRI
AIQ4501,A320,VTBS,VTUK,2025-12-23 04:10,290,345,RW02R,RW03,SELK1H,,R03,SELKA Y14 KRT Y23 KKN Y23/Y22
AIQ636,A320,VTBD,VVDN,2025-12-23 04:10,330,460,RW21L,,UPKU3C,,,UPKUP Y16 BUTRA
BKP259,AT76,VTSM,VTSP,2025-12-23 04:10,140,260,RW35,RW09,ENRA1B,SAVS1C,,DORNA W32 SAPUD Y8 SAVSA
BKP966,A319,WSSS,VTSM,2025-12-23 04:10,360,455,,RW17,,,R17,KADAX M626 IKOGA Y95 RUMVA
CHH7940,A20N,VTBS,ZJHK,2025-12-23 04:10,330,465,RW02R,,SELK1H,,,SELKA A1 SANOT Y15 GUROK A202 SAV
NOK573,B738,VTSB,VTBD,2025-12-23 04:10,350,470,RW04,RW21R,NIXE1D,SABA3A,R21R,NIXET Y99 HOTEL DCT SABAI
VPCKV,GLF6,VHHH,VTSP,2025-12-23 04:10,430,490,,RW09,,SAVS1C,,BUTRA A1 UBL W1 RAMEI W42 MENEX Y8 SAVSA
AIQ3239,A21N,VTBD,VTSB,2025-12-23 04:15,340,450,RW21L,RW22,SABI3C,IKER1A,R22,SABIS Y8 IKERA
AIQ3447,A320,VTBD,VTCC,2025-12-23 04:15,340,460,RW21L,RW36,OLVU3C,MARN2A,R36,OLVUK Y26 MARNI
AIQ4252,A320,VTBS,VTSC,2025-12-23 04:15,370,445,RW02R,,KASN1H,,,KASNI M757 ROBDA W19 NTW
AKJ623,B38M,VOBL,VTSP,2025-12-23 04:15,370,445,,RW09,,UBNE1C,,SAPAM L645 UBNEN
BKP157,AT76,VTBS,VTSM,2025-12-23 04:15,150,255,RW02R,RW17,KASN1H,,R17,KASNI M757 MABKO W33 SMU
CEB930,A21N,VTBS,RPLL,2025-12-23 04:15,370,500,RW02R,,GOME1S,,,GOMES B204 AGEDO
MAS788,B738,WMKK,VTBS,2025-12-23 04:15,380,465,,RW01,,LEBI1D,R01,RIGTO M769 LEBIM
MJJ211,A320,VTCT,VTBD,2025-12-23 04:15,330,380,RW21,RW21R,DUBE1B,NAKO3A,R21R,DUBEN Y28 BLAFF DCT NAKON
SIA401,B78X,VIDP,WSSS,2025-12-23 04:15,370,490,,,,,,EKAVO M626 IKOGA Y24 PASVA
TLM604,B738,VTBD,VTUD,2025-12-23 04:15,310,450,RW21L,RW30,ROBK3C,ANPU1C,R30,ROBKA A1 SELKA Y14 KRT Y23 KKN Y23/Y22
VJC809,A321,VVTS,VTSP,2025-12-23 04:15,320,475,,RW09,,SAVS1C,,SAKDA R575 SMU W32 SAPUD Y8 SAVSA
AWQ251,A320,VTBD,WIII,2025-12-23 04:20,370,445,RW21L,,KIGO3C,,,KIGOB Y11 PASVA
CES6087,B738,ZPPP,VTBS,2025-12-23 04:20,320,470,,RW01,,NORT1D,R01,VTN R470 UDN W21 NOBER
HVN600,A321,VTBS,VVTS,2025-12-23 04:20,350,465,RW02R,,GOME1S,,,GOMES N506 BOKAK
TLM101,B738,WSSS,VTBD,2025-12-23 04:20,360,465,,RW21R,,SEHN3A,R21R,ABTOK M644 ALUMO Y12 ALEMI
TLM708,B738,VTBD,VTSS,2025-12-23 04:20,330,470,RW21L,RW26,KASN3C,OBLE1A,R26,KASNI M757 OBLEX
ABY700,A21N,VTSP,OMSJ,2025-12-23 04:25,380,470,RW09,,UBNE1A,,,UBNEN L645 SAPAM
AIQ3444,A320,VTCC,VTBD,2025-12-23 04:25,330,450,RW36,RW21R,PANT2C,NAKO3A,R21R,PANTA Y7 BLAFF DCT NAKON
BKP133,A319,VTBS,VTSM,2025-12-23 04:25,310,430,RW02R,RW17,KASN1H,,R17,KASNI M757 MABKO W33 SMU
BKP293,AT76,VTSM,VTBU,2025-12-23 04:25,140,250,RW35,RW18,OLBA1B,,R18,OLBAG Y17 DONSI M769 SURMA W42 ASEKU DCT BUT
CAL852,A21N,VTCC,RCTP,2025-12-23 04:25,350,495,RW36,,MONL2C,,,MONLO R207 NAN R215 TOMIP
CSN3081,A20N,ZGGG,VTBS,2025-12-23 04:25,300,445,,RW01,,EAST1D,R01,SAV A202 RAMEI W42 PAKRI Y13 RUKSA
CSN358,A21N,VTBS,ZGGG,2025-12-23 04:25,290,455,RW02R,,SELK1H,,,SELKA A1 SANOT Y15 GUROK A202 SAV
LAO303,AT75,VLVT,VLPS,2025-12-23 04:25,310,420,,,,,,VTN R470 UBL B202 PAK
MMA338,E190,VTBS,VYMD,2025-12-23 04:25,360,455,RW02R,,NUNL1S,,,NUNLI L507 LUDVI
SBI6308,B738,VTBS,UIII,2025-12-23 04:25,370,440,RW02R,,UGUV1H,,,UGUVO Y27 PIBAN Y29 PSL W26 CMP W21 UDN R470 VTN
THA404,A359,WSSS,VTBS,2025-12-23 04:25,400,495,,RW01,,TUMG1D,R01,ABTOK M644 ALUMO Y12 ALEMI
THA472,A359,YSSY,VTBS,2025-12-23 04:25,380,510,,RW01,,TUMG1D,R01,TIDAR M904 TONIK M644 ALUMO Y12 ALEMI
ABY824,A21N,VTBS,OMSJ,2025-12-23 04:30,320,475,RW02R,,PAST1H,,,PASTO L301 TANEK
AIQ3091,A21N,VTBD,VTSP,2025-12-23 04:30,360,455,RW21L,RW09,SABI3C,SAVS1C,,SABIS Y8 SAVSA
AXM833,A320,VTSP,WMKK,2025-12-23 04:30,310,455,RW09,,REBE1A,,,REBED B579 DALAN
BKP242,A319,VTCC,VTSM,2025-12-23 04:30,370,450,RW36,RW17,PANT2C,,R17,PANTA Y7 BKK M757 MABKO W33 SMU
CQH6300,A320,VTBS,ZLXY,2025-12-23 04:30,330,450,RW02R,,NOBE1S,,,NOBER B346 YAKUA
HIM890,A320,VNKT,WMKK,2025-12-23 04:30,350,460,,,,,,EKAVO M626 VALSI M757 KARMI
LKY627,C130,VTUW,VTBD,2025-12-23 04:30,240,315,RW15,RW21R,OMNI,ENDU3A,R21R,Y22/Y23 KKN Y23 KRT Y20 UBLOD DCT ENDUU
MFX526,A21N,VTBS,UZTT,2025-12-23 04:30,320,470,RW02R,,NUNL1S,,,IGONI L507 LUDVI
MXD131,B38M,WMKK,OPLA,2025-12-23 04:30,340,475,,,,,,DUBAX R325 PUT L759 TAVUN
NOK525,B738,VTSP,VTBD,2025-12-23 04:30,370,445,RW09,RW21R,IGEV1A,SABA3A,R21R,IGEVI Y5 EGUBO Y99 HOTEL DCT SABAI
THA207,A320,VTBS,VTSP,2025-12-23 04:30,340,440,RW02R,RW09,VANK1H,SAVS1C,,VANKO Y8 SAVSA
TLM510,B739,VTBD,VTCC,2025-12-23 04:30,320,430,RW21L,RW36,OLVU3C,MARN2A,R36,OLVUK Y26 MARNI
TLM784,B738,VTBD,VTSF,2025-12-23 04:30,310,470,RW21L,RW19,KASN3C,,R19,KASNI M757 LOSDA Y94 NKS
VJC803,A321,VVTS,VTBS,2025-12-23 04:30,340,450,,RW01,,TUMG1D,R01,VAPVU P629 NUGPA
AFR199,A359,VTBS,LFPG,2025-12-23 04:35,360,470,RW02R,,VANK1H,,,VANKO Y8 PUT L645 SAPAM
AIQ155,A320,VTCC,VTSS,2025-12-23 04:35,370,450,RW36,RW26,PANT2C,OBLE1A,R26,PANTA Y7 BKK M757 OBLEX
AIQ3238,A320,VTSB,VTBD,2025-12-23 04:35,310,455,RW04,RW21R,NIXE1D,SABA3A,R21R,NIXET Y99 HOTEL DCT SABAI
CSN3056,B38M,VYYY,ZGGG,2025-12-23 04:35,350,480,,,,,,BOMAS A581 BIGVO R202 PAE W25 NAN R215 TOMIP
HVN605,A21N,VVTS,VTBS,2025-12-23 04:35,340,450,,RW01,,TUMG1D,R01,VAPVU P629 NUGPA
HVN921,A321,VLVT,VDTI,2025-12-23 04:35,330,470,,,,,,VTN R470 UBL B202 PAK
THA551,A320,VVTS,VTBS,2025-12-23 04:35,320,470,,RW01,,TUMG1D,R01,VAPVU P629 NUGPA
TLM759,B738,VTSP,VTBD,2025-12-23 04:35,330,455,RW09,RW21R,IGEV1A,SABA3A,R21R,IGEVI Y5 EGUBO Y99 HOTEL DCT SABAI
AIQ3542,A20N,VTBD,VTUL,2025-12-23 04:40,310,435,RW21L,RW19,NOBE4C,,R19,NOBER W21 CMP B218 BOVGO
AIQ3552,A320,VTBD,VTCN,2025-12-23 04:40,320,440,RW21L,RW02,UGUV3C,,R02,UGUVO Y27 IBUBU W25 NAN
AIQ8165,A320,VTCC,VTSP,2025-12-23 04:40,360,450,RW36,RW09,PANT2C,SAVS1C,,PANTA Y7 BKK Y8 SAVSA
BKP1155,A319,VTBS,VTSM,2025-12-23 04:40,310,435,RW02R,RW17,KASN1H,,R17,KASNI M757 MABKO W33 SMU
BKP805,A319,VTSM,VHHH,2025-12-23 04:40,370,465,RW35,,OLBA1B,,,OLBAG Y17 DONSI M769 SURMA W42 TOPER A1 SANOT Y15 GUROK A202 SAV
CES5082,B38M,WSSS,ZPPP,2025-12-23 04:40,340,455,,,,,,ABTOK M644 RYN N891 BKK Y27 IKISU W22 CTR A581 PONUK
CPA750,A333,VTBS,VHHH,2025-12-23 04:40,370,495,RW02R,,LIPL1S,,,LIPLI Y16 BUTRA
CRK775,A320,VHHH,VTBS,2025-12-23 04:40,340,440,,RW01,,EAST1D,R01,SAV A202 RAMEI W42 PAKRI Y13 RUKSA
ETD412,B789,OMAA,VTSP,2025-12-23 04:40,350,490,,RW09,,UBNE1C,,SAPAM L645 UBNEN
ETD436,A21N,OMAA,VDTI,2025-12-23 04:40,350,465,,,,,,NURDA L524 BKK N506 BOKAK
PAL658,A321,RPLL,OMDB,2025-12-23 04:40,360,465,,,,,,TUPGO M633 MUBUS P629 BKK L301 TANEK
AIQ3030,A21N,VTSP,VTBD,2025-12-23 04:45,370,460,RW09,RW21R,IGEV1A,SABA3A,R21R,IGEVI Y5 EGUBO Y99 HOTEL DCT SABAI
AIQ3230,A320,VTSG,VTBD,2025-12-23 04:45,360,460,RW14,RW21R,OSPE1G,SABA3A,R21R,OSPEX Y99 HOTEL DCT SABAI
AMU936,A21N,VMMC,VTBS,2025-12-23 04:45,340,450,,RW01,,EAST1D,R01,SAV A202 RAMEI W42 PAKRI Y13 RUKSA
CQH7486,A320,VTBS,ZGNN,2025-12-23 04:45,330,460,RW02R,,UGUV1H,,,UGUVO Y27 PIBAN Y29 PSL W26 CMP W21 UDN R470 VTN
ETD406,A35K,OMAA,VTBS,2025-12-23 04:45,370,490,,RW01,,WILA1D,R01,NURDA L524 IBETO
NOK543,B738,VTSG,VTBD,2025-12-23 04:45,350,475,RW14,RW21R,OSPE1G,SABA3A,R21R,OSPEX Y99 HOTEL DCT SABAI
SIA318,B38M,WSSS,EGLL,2025-12-23 04:45,300,515,,,,,,PASVA Y24 IKOGA M626 EKAVO
TAX610,A333,VTBD,RJBB,2025-12-23 04:45,410,480,RW21L,,UPKU3C,,,UPKUP Y16 BUTRA
THA601,B77W,VHHH,VTBS,2025-12-23 04:45,380,475,,RW01,,EAST1D,R01,SAV A202 RAMEI W42 PAKRI Y13 RUKSA
TVJ324,A321,VTBS,VTSS,2025-12-23 04:45,350,455,RW02R,RW26,KASN1H,OBLE1A,R26,KASNI M757 OBLEX
VJC802,A320,VTBS,VVTS,2025-12-23 04:45,310,470,RW02R,,GOME1S,,,GOMES N506 BOKAK
BOX532,B77L,EDDP,VTBS,2025-12-23 04:50,350,495,,RW01,,WILA1D,R01,LUDVI L507 IGONI
CDC8021,A320,ZSHC,VTBS,2025-12-23 04:50,300,460,,RW01,,NORT1D,R01,VTN R470 UDN W21 NOBER
CHH424,B38M,VTBS,ZUCK,2025-12-23 04:50,330,445,RW02R,,UGUV1H,,,UGUVO Y27 IBUBU W25 NAN R215 TOMIP
EVA258,A321,VTCC,RCTP,2025-12-23 04:50,330,485,RW36,,MONL2C,,,MONLO R207 NAN R215 TOMIP
NOK574,B738,VTBD,VTSB,2025-12-23 04:50,360,450,RW21L,RW22,SABI3C,IKER1A,R22,SABIS Y8 IKERA
QTR828,B77W,OTHH,VTBS,2025-12-23 04:50,410,500,,RW01,,WILA1D,R01,NURDA L524 IBETO
SBI6261,B738,UHWW,VTBS,2025-12-23 04:50,380,430,,RW01,,NORT1D,R01,VTN R470 UDN W21 NOBER
TAX606,A333,VTBD,RJAA,2025-12-23 04:50,410,485,RW21L,,UPKU3C,,,UPKUP Y16 BUTRA
TGW607,E290,VTBS,WSSS,2025-12-23 04:50,410,475,RW02R,,BUT1H,,,BUT Y11 PASVA
THA206,A320,VTSP,VTBS,2025-12-23 04:50,370,470,RW09,RW01,EMRI1A,LEBI1D,R01,EMRIT Y99 NONEL Y98 LEBIM
THA413,A21N,VTBS,WSSS,2025-12-23 04:50,370,455,RW02R,,BUT1H,,,BUT Y11 PASVA
WHK205,A320,VTBD,VTPM,2025-12-23 04:50,220,410,RW21L,RW27,OLVU3C,URGU1W,R27,OLVUK Y26 NUVLU Y30 URGUM
AIQ481,A320,ZGHA,VTBD,2025-12-23 04:55,360,440,,RW21R,,NAKO3A,R21R,VTN R470 UDN W21 NOBER
AIQ510,A320,VTBD,WMKJ,2025-12-23 04:55,370,450,RW21L,,KIGO3C,,,KIGOB Y11 PASVA
BKP135,A319,VTBS,VTSM,2025-12-23 04:55,330,470,RW02R,RW17,KASN1H,,R17,KASNI M757 MABKO W33 SMU
NOK554,B738,VTBD,VTSF,2025-12-23 04:55,350,455,RW21L,RW19,KASN3C,,R19,KASNI M757 LOSDA Y94 NKS
SJX751,A21N,RCTP,VTCC,2025-12-23 04:55,340,430,,RW36,,MONL2A,R36,VTN R207 MONLO
SWM674,A320,VDTI,VTBS,2025-12-23 04:55,300,480,,RW01,,TUMG1D,R01,VAPVU P629 NUGPA
THA043,A21N,VTUK,VTBS,2025-12-23 04:55,240,485,RW21,RW01,EMRU1B,EAST1D,R01,Y22/Y23 KKN Y23 KRT Y20 UBLOD DCT EASTE
THA630,A320,VTBS,RCKH,2025-12-23 04:55,370,480,RW02R,,LIPL1S,,,LIPLI Y16 BUTRA
TVJ220,B38M,VTBS,VTUU,2025-12-23 04:55,270,470,RW02R,RW05,SELK1H,VENP1C,R05,SELKA A1
UAE370,B77W,OMDB,VTBS,2025-12-23 04:55,370,490,,RW01,,WILA1D,R01,NURDA L524 IBETO
AIQ3201,A320,VTBD,VTCT,2025-12-23 05:00,360,455,RW21L,RW03,UGUV3C,,R03,UGUVO Y27 IKISU W22 BENVI
AIQ660,A320,VTBD,VVPQ,2025-12-23 05:00,330,470,RW21L,,RYN3C,,,RYN R334 SAKDA
CQH7302,A320,VTBS,ZSFZ,2025-12-23 05:00,330,460,RW02R,,SELK1H,,,SELKA A1 SANOT Y15 GUROK A202 SAV
NOK106,B738,VTBD,VTCT,2025-12-23 05:00,380,445,RW21L,RW03,UGUV3C,,R03,UGUVO Y27 IKISU W22 BENVI
OMA831,B38M,OOMS,VTSP,2025-12-23 05:00,350,465,,RW09,,UBNE1C,,SAPAM L645 UBNEN
RLH5041,B737,ZPLJ,VTBS,2025-12-23 05:00,320,460,,RW01,,NORT1D,R01,VTN R470 UDN W21 NOBER
SIA707,B78X,VTBS,WSSS,2025-12-23 05:00,370,490,RW02R,,BUT1H,,,BUT Y11 PASVA
SIA732,B38M,WSSS,VTSP,2025-12-23 05:00,360,475,,RW09,,URGA1C,,DUBAX R325 URGAD
TGW643,E290,VTSM,WSSS,2025-12-23 05:00,370,430,RW35,,RUMV1B,,,RUMVA Y95 IKOGA Y24 PASVA
THA106,A320,VTBS,VTCC,2025-12-23 05:00,360,450,RW02R,RW36,OLVU1H,MARN2A,R36,OLVUK Y26 MARNI
VJT789G,GLEX,VTBD,VLLB,2025-12-23 05:00,370,460,RW21L,,NOBE4C,,,NOBER W21 UDN R470 VTN
AIC2115,A20N,VIDP,WSSS,2025-12-23 05:05,370,445,,,,,,EKAVO M626 IKOGA Y24 PASVA
AIQ3217,A320,VTBD,VTSG,2025-12-23 05:05,380,450,RW21L,RW32,SABI3C,NULM1E,R32,SABIS Y8 SAPUD W32 NULMA
AIQ3436,A320,VTCC,VTBD,2025-12-23 05:05,330,455,RW36,RW21R,PANT2C,NAKO3A,R21R,PANTA Y7 BLAFF DCT NAKON
AIQ4110,A320,VTBS,VTSP,2025-12-23 05:05,360,450,RW02R,RW09,VANK1H,SAVS1C,,VANKO Y8 SAVSA
AXB882,A320,VOBL,VTBS,2025-12-23 05:05,390,455,,RW01,,WILA1D,R01,PUMOR L877 MIGAR L524 IBETO
